Season,Team,Lg,Salary
1,Cleveland Cavaliers,NBA,$4018920
2,Cleveland Cavaliers,NBA,$4320360
3,Cleveland Cavaliers,NBA,$4621800
4,Cleveland Cavaliers,NBA,$5828090
5,Cleveland Cavaliers,NBA,$13041250
6,Cleveland Cavaliers,NBA,$14410581
7,Cleveland Cavaliers,NBA,$15779912
8,Miami Heat,NBA,$14500000
9,Miami Heat,NBA,$16022500
10,Miami Heat,NBA,$17545000
11,Miami Heat,NBA,$19067500
12,Cleveland Cavaliers,NBA,$20644400
13,Cleveland Cavaliers,NBA,$22971000
14,Cleveland Cavaliers,NBA,$30963450
15,Cleveland Cavaliers,NBA,$33285709
16,Los Angeles Lakers,NBA,$35654150
17,Los Angeles Lakers,NBA,$37436858